iter	R2	RMSE
438	0.9994416548	0.2742449237
439	0.999444261	0.2736041091
440	0.9994477069	0.2727545508
441	0.9994516368	0.2717824016
442	0.9994545216	0.2710665668
443	0.9994560708	0.270681373
444	0.9994598425	0.2697412618
445	0.9994636683	0.2687843211
446	0.9994675108	0.2678197385
447	0.999469636	0.2672847736
448	0.9994714138	0.2668364227
449	0.9994746055	0.2660295975
450	0.9994757647	0.2657359641
451	0.9994785021	0.2650412569
452	0.999481301	0.2643290378
453	0.9994828141	0.2639432387
454	0.9994858177	0.2631756723
455	0.9994861538	0.2630896389
456	0.9994880833	0.2625952434
457	0.9994907985	0.261897908
458	0.9994914838	0.2617216157
459	0.9994941034	0.2610466269
460	0.9994966137	0.26039813
461	0.9994989416	0.2597953446
462	0.9995024794	0.2588765498
463	0.9995058617	0.2579950856
464	0.9995083486	0.2573450583
465	0.9995105706	0.2567628627
466	0.9995133749	0.2560262161
467	0.9995149662	0.2556072653
468	0.999517556	0.2549239551
469	0.9995225052	0.2536130026
470	0.9995256637	0.2527728074
471	0.9995290241	0.2518758486
472	0.999530785	0.2514045501
473	0.9995348475	0.250313837
474	0.999536421	0.2498901027
475	0.9995367244	0.2498083242
476	0.9995392946	0.2491143902
477	0.9995426526	0.2482048652
478	0.9995448354	0.2476118556
479	0.9995472006	0.2469676761
480	0.9995504302	0.2460853337
481	0.9995520752	0.2456347222
482	0.9995558141	0.2446073903
483	0.9995571421	0.2442414554
484	0.9995591361	0.2436909934
485	0.9995611062	0.2431458646
486	0.9995640543	0.2423278867
487	0.9995658021	0.2418416275
488	0.9995686209	0.2410553397
489	0.9995703902	0.2405604814
490	0.9995720822	0.2400863024
491	0.9995723214	0.2400191793
492	0.9995751415	0.2392265303
493	0.9995789904	0.2381404578
494	0.9995792823	0.2380578907
495	0.9995812523	0.2374998825
496	0.9995845366	0.236566684
497	0.9995847762	0.2364984441
498	0.9995864116	0.2360322494
499	0.9995889689	0.2353013999
